slug,country,iso,url,language,instrument,category,requires_headless,content_type,issue_ref,notes,status
monaco,Monaco,MCO,,,,unknown,false,html,,WHO member placeholder,todo
mongolia,Mongolia,MNG,,,,unknown,false,html,,WHO member placeholder,todo
montenegro,Montenegro,MNE,,,,unknown,false,html,,WHO member placeholder,todo
montserrat,Montserrat,MSR,,,,unknown,false,html,,WHO member placeholder,todo
morocco,Morocco,MAR,,,,unknown,false,html,,WHO member placeholder,done
mozambique,Mozambique,MOZ,,,,unknown,false,html,,WHO member placeholder,todo
myanmar,Myanmar,MMR,,,,unknown,false,html,,WHO member placeholder,todo
namibia,Namibia,NAM,,,,unknown,false,html,,WHO member placeholder,todo
nauru,Nauru,NRU,,,,unknown,false,html,,WHO member placeholder,todo
nepal,Nepal,NPL,,,,unknown,false,html,,WHO member placeholder,todo
netherlands,Netherlands,NLD,,,,unknown,false,html,,WHO member placeholder,done
new_caledonia,New Caledonia,NCL,,,,unknown,false,html,,WHO member placeholder,todo
new_zealand,New Zealand,NZL,,,,unknown,false,html,,WHO member placeholder,done
nicaragua,Nicaragua,NIC,,,,unknown,false,html,,WHO member placeholder,todo
niger,Niger,NER,,,,unknown,false,html,,WHO member placeholder,todo
nigeria,Nigeria,NGA,,,,unknown,false,html,,WHO member placeholder,done
niue,Niue,NIU,,,,unknown,false,html,,WHO member placeholder,todo
norfolk_island,Norfolk Island,NFK,,,,unknown,false,html,,WHO member placeholder,todo
north_korea,North Korea,PRK,,,,unknown,false,html,,WHO member placeholder,todo
north_macedonia,North Macedonia,MKD,,,,unknown,false,html,,WHO member placeholder,todo
northern_mariana_islands,Northern Mariana Islands,MNP,,,,unknown,false,html,,WHO member placeholder,todo
norway,Norway,NOR,,,,unknown,false,html,,WHO member placeholder,done
oman,Oman,OMN,,,,unknown,false,html,,WHO member placeholder,todo
pakistan,Pakistan,PAK,,,,unknown,false,html,,WHO member placeholder,todo
palau,Palau,PLW,,,,unknown,false,html,,WHO member placeholder,todo
palestine,Palestine,PSE,,,,unknown,false,html,,WHO member placeholder,todo
panama,Panama,PAN,,,,unknown,false,html,,WHO member placeholder,todo
papua_new_guinea,Papua New Guinea,PNG,,,,unknown,false,html,,WHO member placeholder,todo
paraguay,Paraguay,PRY,,,,unknown,false,html,,WHO member placeholder,todo
peru,Peru,PER,,,,unknown,false,html,,WHO member placeholder,done
philippines,Philippines,PHL,,,,unknown,false,html,,WHO member placeholder,todo
pitcairn_islands,Pitcairn Islands,PCN,,,,unknown,false,html,,WHO member placeholder,todo
poland,Poland,POL,,,,unknown,false,html,,WHO member placeholder,todo
portugal,Portugal,PRT,,,,unknown,false,html,,WHO member placeholder,done
puerto_rico,Puerto Rico,PRI,,,,unknown,false,html,,WHO member placeholder,todo
qatar,Qatar,QAT,,,,unknown,false,html,,WHO member placeholder,done
republic_of_the_congo,Republic of the Congo,COG,,,,unknown,false,html,,WHO member placeholder,todo
romania,Romania,ROU,,,,unknown,false,html,,WHO member placeholder,done
russia,Russia,RUS,,,,unknown,false,html,,WHO member placeholder,done
rwanda,Rwanda,RWA,,,,unknown,false,html,,WHO member placeholder,todo
réunion,Réunion,REU,,,,unknown,false,html,,WHO member placeholder,todo
saint_barthélemy,Saint Barthélemy,BLM,,,,unknown,false,html,,WHO member placeholder,todo
"saint_helena,_ascension_and_tristan_da_cunha","Saint Helena, Ascension and Tristan da Cunha",SHN,,,,unknown,false,html,,WHO member placeholder,todo
saint_kitts_and_nevis,Saint Kitts and Nevis,KNA,,,,unknown,false,html,,WHO member placeholder,todo
saint_lucia,Saint Lucia,LCA,,,,unknown,false,html,,WHO member placeholder,todo
saint_martin,Saint Martin,MAF,,,,unknown,false,html,,WHO member placeholder,todo
saint_pierre_and_miquelon,Saint Pierre and Miquelon,SPM,,,,unknown,false,html,,WHO member placeholder,todo
saint_vincent_and_the_grenadines,Saint Vincent and the Grenadines,VCT,,,,unknown,false,html,,WHO member placeholder,todo
samoa,Samoa,WSM,,,,unknown,false,html,,WHO member placeholder,todo
san_marino,San Marino,SMR,,,,unknown,false,html,,WHO member placeholder,todo
